tag,scenario,agent_code,n_matches,metric,mean,ci_lo,ci_hi
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,invalid,1.660,1.250,2.190
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,alive_steps,335.130,313.078,356.054
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,rank,1.470,1.330,1.620
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,win,0.670,0.580,0.760
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,survived,0.780,0.700,0.860
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,time,0.612,0.570,0.652
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,think_time_mean,0.002,0.002,0.002
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,score,0.140,0.070,0.220
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,coins,0.140,0.070,0.220
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,kills,0.000,0.000,0.000
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,suicides,0.000,0.000,0.000
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,suicide,0.000,0.000,0.000
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,crates,0.000,0.000,0.000
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,invalid,105.760,95.530,117.471
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,alive_steps,172.620,155.147,191.973
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,rank,3.815,3.755,3.875
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,win,0.000,0.000,0.000
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,survived,0.060,0.020,0.110
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,time,0.017,0.015,0.019
stage22_f_quantiles64_mixed4_full100,classic,peaceful_agent,100,think_time_mean,0.000,0.000,0.000
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,score,3.580,2.910,4.260
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,coins,2.080,1.830,2.340
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,kills,0.300,0.200,0.420
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,suicides,0.620,0.520,0.720
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,suicide,0.620,0.520,0.720
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,crates,36.900,34.229,39.821
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,invalid,4.710,4.240,5.260
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,alive_steps,154.020,134.510,174.354
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,rank,2.250,2.095,2.405
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,win,0.180,0.100,0.260
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,survived,0.190,0.120,0.270
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,time,0.167,0.139,0.198
stage22_f_quantiles64_mixed4_full100,classic,rule_based_agent,100,think_time_mean,0.001,0.001,0.001
