update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
65,1130947,1130947,3162,162,1024,0.23389648437500046,5.38978385925293,-0.18940110504627228,-0.0036063272273167968,0.3632031176239252,0.3635113202035427,0.000911080138394027,0.023193359375,0.9398050918083146,0.05,8,105,0,0.0908203125,0.212890625,0.1044921875,0.2080078125,0.24609375,0.1376953125
66,1131971,1131971,3165,165,1024,0.25596679687500046,6.03811502456665,-0.09253190457820892,-0.003483973618131131,0.21260013617575169,0.34488608688116074,0.0036133569192315917,0.015625,0.9744563416274642,0.05,4,113,0,0.095703125,0.201171875,0.109375,0.205078125,0.24609375,0.142578125
67,1132995,1132995,3167,167,1024,0.2617285156250005,5.6188459396362305,0.06512387096881866,-0.0018324244301766157,0.3211441421881318,0.3327631503343582,-0.0010741384576249402,0.008056640625,0.9530474543989207,0.05,12,161,0,0.1103515625,0.189453125,0.1357421875,0.1669921875,0.2587890625,0.138671875
68,1134019,1134019,3170,170,1024,0.24092773437500048,5.330863952636719,-0.17896796762943268,-0.0016923906514421105,0.39107898622751236,0.32595141790807247,0.003819587234829669,0.0224609375,0.9395012579651948,0.05,6,111,0,0.1181640625,0.19921875,0.1162109375,0.173828125,0.2548828125,0.1376953125
69,1135043,1135043,3172,172,1024,0.24244140625000052,5.712985038757324,0.12379820644855499,-0.004128077096538618,0.21953643020242453,0.32524312287569046,0.003330299370645662,0.031982421875,0.9585764641646799,0.05,2,75,0,0.095703125,0.2041015625,0.109375,0.2060546875,0.2470703125,0.1376953125
70,1135852,1135852,3175,175,809,0.2616934487021018,5.285256862640381,0.10122482478618622,-0.013818127772537991,0.3549590576440096,0.3273477368056774,0.004855804094404448,0.02166301431134343,0.9424584738672774,0.05,12,137,0,0.10877626699629171,0.1915945611866502,0.14585908529048208,0.18665018541409148,0.22991347342398022,0.13720642768850433
71,1136876,1136876,3177,177,1024,0.2337011718750004,4.9491472244262695,-0.14521807432174683,-0.0027540124719962478,0.2079475075006485,0.3828800115734339,0.0034177037814515643,0.0244140625,0.9653806742123199,0.05,14,198,0,0.0947265625,0.2041015625,0.1201171875,0.19921875,0.24609375,0.1357421875
72,1137900,1137900,3180,180,1024,0.22740234375000046,5.584228992462158,-0.03871908783912659,-0.0036505450843833387,0.34781225211918354,0.4147561490535736,0.0034677070807447308,0.03759765625,0.9376503054193402,0.05,7,87,0,0.099609375,0.2275390625,0.099609375,0.2158203125,0.2216796875,0.1357421875
73,1138924,1138924,3182,182,1024,0.21202148437500043,5.121901512145996,-0.059687644243240356,-0.0055335658544208854,0.2646612385287881,0.39281122758984566,0.00464332100818865,0.04443359375,0.9430239659839894,0.05,9,106,0,0.09375,0.23828125,0.09375,0.2314453125,0.20703125,0.1357421875
74,1139948,1139948,3185,185,1024,0.21714843750000043,5.15300178527832,-0.015333144925534725,-0.004741954675409943,0.31226203218102455,0.39270805567502975,0.0036912623645548592,0.0439453125,0.9397736780286434,0.05,9,117,0,0.09375,0.2177734375,0.1083984375,0.212890625,0.232421875,0.134765625
75,1140972,1140972,3187,187,1024,0.20201171875000037,4.747986793518066,0.04873187839984894,-0.002668514527613297,0.5028516780585051,0.3770358171314001,0.004285164366592653,0.029052734375,0.8902504246537912,0.05,10,126,0,0.1015625,0.2275390625,0.115234375,0.2080078125,0.2119140625,0.1357421875
76,1141996,1141996,3190,190,1024,0.20752929687500027,4.0942487716674805,0.06279705464839935,-0.004131730180233717,0.7394734919071198,0.3632868006825447,0.0034417831720929826,0.03564453125,0.8452168167805291,0.05,19,254,0,0.1220703125,0.1796875,0.16015625,0.15625,0.2451171875,0.13671875
77,1143020,1143020,3192,192,1024,0.2541113281250005,5.879030227661133,-0.03174380213022232,-0.0032468928257003427,0.5369371920824051,0.3891548905521631,0.00109625507502642,0.01220703125,0.9296970299889239,0.05,9,126,0,0.0869140625,0.2265625,0.1025390625,0.21484375,0.2314453125,0.1376953125
78,1144044,1144044,3195,195,1024,0.2504980468750005,5.6643877029418945,-0.1151420995593071,-0.004427450126968324,0.29418621864169836,0.39192831702530384,0.0028126315264671575,0.022705078125,0.9392080853464543,0.05,13,130,0,0.09375,0.2236328125,0.1083984375,0.224609375,0.2138671875,0.1357421875
79,1145068,1145068,3198,198,1024,0.25157226562500046,5.715838432312012,-0.03624463081359863,-0.004555120482109487,0.8371201641857624,0.3828914612531662,0.0021902395183133194,0.027587890625,0.8941740867720691,0.05,15,163,1,0.115234375,0.212890625,0.1279296875,0.197265625,0.2138671875,0.1328125
80,1145643,1145643,3200,200,575,0.28704347826086996,5.935033798217773,-0.06344352662563324,-0.004134238542368014,0.31690703704953194,0.4205029308795929,0.002024435918428935,0.018658027828981478,0.9648209472241827,0.05,5,84,0,0.11130434782608696,0.21043478260869566,0.1356521739130435,0.19652173913043477,0.21217391304347827,0.13391304347826086
81,1146667,1146667,3202,202,1024,0.2479101562500004,5.342990875244141,-0.0998382568359375,-0.0033510797074995935,0.3177001252770424,0.3993323426693678,0.001018135464619263,0.01318359375,0.9600080169114139,0.05,15,160,0,0.1171875,0.2158203125,0.138671875,0.201171875,0.1943359375,0.1328125
82,1147691,1147691,3205,205,1024,0.28921875000000047,6.087650299072266,0.06420692801475525,-0.005375366075895727,0.4129554759711027,0.3971544448286295,0.002143734366654826,0.0263671875,0.9610872140150021,0.05,14,152,0,0.130859375,0.185546875,0.162109375,0.1923828125,0.19921875,0.1298828125
83,1148715,1148715,3207,207,1024,0.22315429687500044,5.252875328063965,-0.19140174984931946,-0.0021150126704014838,0.18188994377851486,0.3919574823230505,0.0022182645989232697,0.021484375,0.964676751320461,0.05,10,115,0,0.1103515625,0.23046875,0.1083984375,0.2119140625,0.2060546875,0.1328125
84,1149739,1149739,3210,210,1024,0.2753027343750005,6.342547416687012,0.059021174907684326,-0.0031192294554784894,0.20213861018419266,0.3480212911963463,0.004149518873418856,0.020263671875,0.979650270137186,0.05,8,111,0,0.0986328125,0.21875,0.1123046875,0.2099609375,0.2216796875,0.138671875
85,1150763,1150763,3212,212,1024,0.2115820312500004,4.8917622566223145,0.029112350195646286,-0.0031603313982486725,0.28567659109830856,0.33652760833501816,0.0029875821765017463,0.025634765625,0.9412973161418041,0.05,10,140,0,0.1142578125,0.22265625,0.1396484375,0.1982421875,0.19140625,0.1337890625
86,1151787,1151787,3215,215,1024,0.26895507812500047,6.068753719329834,0.24741771817207336,-0.001974276325199753,0.4661906361579895,0.3596047405153513,0.0012479591241572052,0.013671875,0.9444097598170256,0.05,12,153,0,0.091796875,0.228515625,0.115234375,0.224609375,0.205078125,0.134765625
87,1152811,1152811,3218,218,1024,0.2090429687500004,4.918781280517578,-0.4820212125778198,-0.0009650633437559009,1.3983881399035454,0.35537112317979336,0.0030744700015929993,0.0107421875,0.7826194322481814,0.05,12,150,1,0.10546875,0.2021484375,0.1494140625,0.2138671875,0.19140625,0.1376953125
88,1153835,1153835,3220,220,1024,0.2608984375000004,5.741146087646484,0.015858784317970276,-0.004021755477879196,0.29255731776356697,0.3764210809022188,-2.4534227122785524e-05,0.023193359375,0.9687103320679893,0.05,5,117,0,0.1005859375,0.2119140625,0.126953125,0.2197265625,0.20703125,0.1337890625
