update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,kills,self_kills,deaths,action_up,action_right,action_down,action_left,action_wait,action_bomb
278,2799262,2799262,7866,866,1024,0.5110937500000006,17.246051788330078,0.42435628175735474,-0.0035261198063381016,4.569410443305969,0.3803654033690691,0.007334328740398632,0.038818359375,0.8760565684280153,0.05,11,95,1,1,1,0.2509765625,0.1884765625,0.23828125,0.1787109375,0.01953125,0.1240234375
279,2800286,2800286,7870,870,1024,0.5441992187500004,17.30620574951172,-0.11586705595254898,-0.0018672571459319443,5.678598523139954,0.3641588184982538,0.0024030830682022497,0.010498046875,0.913433415700551,0.05,11,136,0,2,2,0.2275390625,0.20703125,0.2119140625,0.197265625,0.0205078125,0.1357421875
280,2801310,2801310,7873,873,1024,0.40557617187500056,14.219528198242188,-0.08131395280361176,-0.0037744076689705253,5.041119381785393,0.3335002027451992,0.0032921873298619175,0.0224609375,0.8975313383893563,0.05,12,134,0,1,2,0.2412109375,0.1865234375,0.2509765625,0.1787109375,0.01953125,0.123046875
281,2801541,2801541,7875,875,231,0.4969264069264075,16.022289276123047,-0.9985628128051758,0.0002587818246064799,18.794573307037354,0.3933398649096489,-0.0010377460166792751,0.0,0.7523045668762287,0.05,5,43,0,2,2,0.20346320346320346,0.19047619047619047,0.23376623376623376,0.19480519480519481,0.047619047619047616,0.12987012987012986
282,2802565,2802565,7878,878,1024,0.5670996093750004,17.90160369873047,0.2873431444168091,-0.002004091744311154,7.251262724399567,0.3842033203691244,0.0009158839438896393,0.0068359375,0.882654488294616,0.05,14,146,0,2,2,0.2353515625,0.197265625,0.2333984375,0.17578125,0.0322265625,0.1259765625
283,2803589,2803589,7881,881,1024,0.3679785156250005,14.195277214050293,0.05096115171909332,-0.003065166238229722,4.283101677894592,0.2615805882960558,0.0043160171480849385,0.029296875,0.8572114822792751,0.05,13,117,0,1,1,0.2275390625,0.1982421875,0.2392578125,0.193359375,0.0087890625,0.1328125
284,2804613,2804613,7884,884,1024,0.4317968750000005,15.501615524291992,-0.17367592453956604,-0.0034154271124862134,5.2215204536914825,0.35703445598483086,0.0015538753978034947,0.0556640625,0.8852839883761494,0.05,17,113,0,2,2,0.2783203125,0.1513671875,0.2734375,0.1640625,0.0126953125,0.1201171875
285,2805637,2805637,7887,887,1024,0.3962011718750005,14.246758460998535,0.3212894797325134,-0.000320064602419734,3.640777587890625,0.31967069022357464,0.004554202403596719,0.0390625,0.9154796251164791,0.05,12,138,0,0,1,0.2177734375,0.1982421875,0.2314453125,0.19921875,0.025390625,0.1279296875
286,2806661,2806661,7890,890,1024,0.4322363281250006,15.699616432189941,0.15593937039375305,0.00047458778135478497,4.967057168483734,0.30452698841691017,-0.0023968969653651584,0.02587890625,0.8535901875457839,0.05,10,109,0,1,1,0.2177734375,0.2197265625,0.2177734375,0.19921875,0.0166015625,0.12890625
287,2807685,2807685,7893,893,1024,0.5162207031250005,16.642484664916992,-0.12525977194309235,-0.0016805633204057813,4.1483426839113235,0.331536702811718,0.0017057211443898268,0.0107421875,0.8945407689714142,0.05,9,130,1,0,0,0.2197265625,0.2216796875,0.2060546875,0.2021484375,0.0224609375,0.1279296875
