update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
41,304801,304801,1102,102,1024,0.20191406250000027,2.8913815021514893,-0.22164669632911682,-0.002026955713517964,0.41210938803851604,0.2970250640064478,0.0006322866629488999,0.000732421875,0.7616591937763385,0.02,61,145,0,0.078125,0.3271484375,0.0849609375,0.3466796875,0.115234375,0.0478515625
42,305825,305825,1105,105,1024,0.21983398437500018,2.9038453102111816,-0.16488778591156006,-0.0030334079056046903,0.46953841112554073,0.3003635797649622,0.003381703342711262,0.016845703125,0.8078051619007347,0.02,71,180,0,0.109375,0.26953125,0.13671875,0.283203125,0.1396484375,0.0615234375
43,306849,306849,1107,107,1024,0.19122070312500034,3.0359880924224854,-0.20061436295509338,-0.0031591298757120967,0.22320950496941805,0.36510762199759483,0.0034769256635627244,0.0107421875,0.908910154552053,0.02,30,85,0,0.06640625,0.3271484375,0.0791015625,0.341796875,0.142578125,0.04296875
44,307873,307873,1110,110,1024,0.16827148437500034,2.893115282058716,-0.08709271252155304,-0.004891764838248491,0.13079013163223863,0.3236965090036392,5.468295466926065e-05,0.02685546875,0.8851902222465907,0.02,15,41,0,0.02734375,0.4267578125,0.025390625,0.427734375,0.0732421875,0.01953125
45,308897,308897,1112,112,1024,0.1859960937500002,2.472719430923462,0.23645322024822235,-0.0018718116625677794,0.35385659895837307,0.26460731122642756,-0.0005861321919837792,0.019775390625,0.7740033238575029,0.02,60,139,0,0.0927734375,0.34765625,0.0888671875,0.3515625,0.0771484375,0.0419921875
46,309921,309921,1115,115,1024,0.2099218750000002,2.5955402851104736,-0.14506256580352783,-0.0021871617645956576,0.43194898776710033,0.24695887882262468,-0.00048696454177843407,0.004638671875,0.7875685834304316,0.02,70,175,0,0.126953125,0.2783203125,0.146484375,0.2939453125,0.0986328125,0.0556640625
47,310945,310945,1117,117,1024,0.23116210937500017,2.719546318054199,0.024673208594322205,-0.001532958704046905,0.5356789529323578,0.2506550010293722,0.0018905531032942235,0.01025390625,0.7848226088706721,0.02,87,218,0,0.1591796875,0.2568359375,0.1396484375,0.287109375,0.09765625,0.0595703125
48,311969,311969,1120,120,1024,0.22369140625000017,2.4830338954925537,-0.08714299649000168,-0.0038608723552897573,0.4846273958683014,0.25413380563259125,0.002031512736721197,0.011474609375,0.746223820655189,0.02,85,205,0,0.1279296875,0.2626953125,0.1337890625,0.2958984375,0.1142578125,0.0654296875
49,312993,312993,1122,122,1024,0.21539062500000028,3.2034764289855957,0.0070657022297382355,-0.0018145778449252248,0.30069122090935707,0.2689574155956507,0.000197420045878971,0.011474609375,0.817971999695529,0.02,49,113,0,0.0712890625,0.3564453125,0.0791015625,0.3720703125,0.0859375,0.03515625
50,313802,313802,1125,125,809,0.2270828182941907,3.0581307411193848,-0.017232896760106087,0.0019139489158988,0.31574947759509087,0.23358491249382496,0.007211471866867214,0.016470559872686863,0.8941613785977144,0.02,45,114,0,0.0865265760197775,0.33498145859085293,0.103831891223733,0.34487021013597036,0.08529048207663782,0.04449938195302843
