update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
47,46504,46504,155,155,1024,0.290634765625,0.21773113310337067,0.27165699005126953,-0.0011777081526815891,0.7530068755149841,0.44530233182013035,0.0008074388460954651,0.0,0.5068822550774901,302,0,0,0.2978515625,0.1845703125,0.3017578125,0.185546875,0.0244140625,0.005859375
48,47528,47528,160,160,1024,0.22129882812500004,-0.14152002334594727,-0.06402336061000824,-0.001703781250398606,0.5088118817657232,0.4941938668489456,0.0023399271158268675,0.01171875,0.5765222450200957,231,0,0,0.326171875,0.1474609375,0.333984375,0.14453125,0.0400390625,0.0078125
49,48552,48552,166,166,1024,0.3139746093750001,0.1944197714328766,-0.03881330415606499,-0.0010391688847448677,0.6354816257953644,0.40585707128047943,0.001426142785931006,0.004150390625,0.42671549745087456,326,0,0,0.2890625,0.1953125,0.26953125,0.2119140625,0.0302734375,0.00390625
50,49576,49576,171,171,1024,0.22720703125000002,-0.11715351790189743,0.06326470524072647,-0.00262270012171939,0.49646088294684887,0.49240139685571194,0.0013315863907337189,0.0166015625,0.5734123044312638,240,0,0,0.341796875,0.1298828125,0.3466796875,0.1494140625,0.02734375,0.0048828125
51,50600,50600,174,174,1024,0.13370117187500002,-0.3423274755477905,0.14293545484542847,-0.002110110828652978,0.417990880087018,0.5304923243820667,-0.00015568526578135788,0.053955078125,0.5925696007766514,145,0,0,0.3935546875,0.0810546875,0.388671875,0.0908203125,0.0419921875,0.00390625
52,50763,50763,175,175,163,-0.009079754601226994,-0.8795130252838135,0.13061842322349548,-0.005701559967507208,0.2130650393664837,0.5406153351068497,0.0016627434794322937,0.010736196301877499,-0.045201117629357856,0,0,0,0.4171779141104294,0.03067484662576687,0.4294478527607362,0.018404907975460124,0.10429447852760736,0.0
53,51787,51787,178,178,1024,0.17247070312500007,-0.13371634483337402,0.02435450255870819,-0.002958684926852584,0.26108164247125387,0.5296924766153097,0.002814146238961257,0.103271484375,0.701586726156167,183,0,0,0.3759765625,0.09765625,0.3779296875,0.109375,0.0322265625,0.0068359375
54,52811,52811,181,181,1024,0.10772460937500004,-0.3483981788158417,0.02202782593667507,-0.0025144796818494797,0.2870934521779418,0.5102106109261513,0.004408572596730664,0.0390625,0.5551152912521298,115,0,0,0.408203125,0.0693359375,0.408203125,0.0625,0.0439453125,0.0078125
55,53835,53835,186,186,1024,0.2508886718750001,0.21031248569488525,0.24402780830860138,-0.00103708915412426,0.5668489709496498,0.3654799126088619,0.0003853447997244075,0.012939453125,0.5111645905180601,261,0,0,0.3193359375,0.1181640625,0.3525390625,0.1767578125,0.0263671875,0.0068359375
56,54859,54859,192,192,1024,0.3087988281250001,0.19017896056175232,-0.20960107445716858,-0.00034746527671813965,0.512625053524971,0.35566484928131104,0.0014305940276244655,0.0009765625,0.5388508862630388,319,0,0,0.2939453125,0.1845703125,0.2939453125,0.19921875,0.0205078125,0.0078125
57,55883,55883,199,199,1024,0.3515234375000001,0.23098109662532806,-0.06477221846580505,-0.0014706473448313773,0.7306329905986786,0.3196788355708122,0.0009857883851509541,0.005615234375,0.4004341676135106,364,0,0,0.26953125,0.208984375,0.3046875,0.1875,0.02734375,0.001953125
58,55893,55893,200,200,10,0.39,1.0815635919570923,0.7322268486022949,-0.0007811021001540297,1.009564608335495,0.38512618094682693,0.000656726960732712,0.0,0.42195963828260485,3,0,0,0.0,0.5,0.4,0.1,0.0,0.0
59,56917,56917,203,203,1024,0.16128906250000005,-0.2849239110946655,0.17589133977890015,-0.0008554222295060754,0.29944607987999916,0.46386683359742165,0.0010206835140706971,0.0,0.5794055573805841,173,0,0,0.384765625,0.0947265625,0.390625,0.1064453125,0.021484375,0.001953125
60,57941,57941,205,205,1024,0.07886718750000002,-0.4758639335632324,0.041836220771074295,-0.0034281022381037474,0.24182519502937794,0.44598412699997425,0.004885212183580734,0.0439453125,0.611572404139429,88,0,0,0.4345703125,0.048828125,0.408203125,0.0625,0.037109375,0.0087890625
61,58965,58965,209,209,1024,0.17969726562500007,0.028449662029743195,0.26735079288482666,-0.0013630519970320165,0.39100244641304016,0.3409951999783516,0.0020273251648177393,0.037353515625,0.6006328822323668,190,0,0,0.390625,0.103515625,0.3701171875,0.107421875,0.0244140625,0.00390625
62,59989,59989,215,215,1024,0.2919042968750001,0.10295723378658295,-0.34619140625,-0.0016289495979435742,0.5934386178851128,0.35267338529229164,0.0021348611408029683,0.0126953125,0.4834399756800538,303,0,0,0.3076171875,0.1826171875,0.333984375,0.15625,0.0166015625,0.0029296875
