update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
37,36880,36880,109,109,1024,0.22383789062500004,-0.35638582706451416,-0.3266765773296356,-0.001024196099024266,0.6442777253687382,0.721069909632206,0.0007865685474826023,0.0,0.5040260614511249,0.02,236,0,0,0.28125,0.1572265625,0.306640625,0.1552734375,0.0908203125,0.0087890625
38,37904,37904,112,112,1024,0.17203125000000002,-0.39183008670806885,0.3348301947116852,-0.0016434986609965563,0.5565861035138369,0.7420311570167542,0.00409795340965502,0.029052734375,0.6134405209902121,0.02,188,0,0,0.333984375,0.1181640625,0.3173828125,0.1083984375,0.1171875,0.0048828125
39,38928,38928,116,116,1024,0.20074218750000006,-0.32801979780197144,-0.049827683717012405,-0.0018994571291841567,0.4515163581818342,0.6677505634725094,0.001854324887972325,0.00341796875,0.5881542590564496,0.02,215,0,0,0.3134765625,0.15625,0.2958984375,0.1318359375,0.09765625,0.0048828125
40,39952,39952,120,120,1024,0.18033203125000005,-0.2082165777683258,0.227474182844162,-0.002935690979938954,0.4461596608161926,0.701089758425951,0.0033270130661549047,0.035888671875,0.642470116781245,0.02,193,0,0,0.3232421875,0.1220703125,0.33203125,0.115234375,0.099609375,0.0078125
41,40954,40954,125,125,1002,0.20671656686626752,-0.13299840688705444,-0.015693247318267822,-0.0036698121984954923,0.5119529161602259,0.6441134512424469,0.00260675216850359,0.03190104180248454,0.6180041268430002,0.02,214,0,0,0.30538922155688625,0.13972055888223553,0.3413173652694611,0.12574850299401197,0.08083832335329341,0.006986027944111776
42,41978,41978,129,129,1024,0.23624023437500002,-0.08759446442127228,-0.046444982290267944,-0.0025906178634613752,0.5558841936290264,0.631588451564312,-0.0011725138465408236,0.02392578125,0.5611469272677012,0.02,250,0,0,0.3134765625,0.1513671875,0.3212890625,0.1396484375,0.0693359375,0.0048828125
43,43002,43002,135,135,1024,0.25347656250000006,0.08790696412324905,0.0590604729950428,-0.002584928588476032,0.5195769276469946,0.5747191719710827,0.0010620034736348316,0.00244140625,0.5127653197311315,0.02,265,0,0,0.28515625,0.1767578125,0.2626953125,0.193359375,0.07421875,0.0078125
44,44026,44026,141,141,1024,0.3030859375,0.28978556394577026,0.06936696171760559,-0.0027555241249501705,0.5359549466520548,0.5038987211883068,0.0008121830178424716,0.016845703125,0.517121276341177,0.02,314,0,0,0.283203125,0.189453125,0.2783203125,0.205078125,0.037109375,0.0068359375
45,45050,45050,147,147,1024,0.28667968750000006,0.15085376799106598,0.08425318449735641,-0.002607382833957672,0.5322115775197744,0.5429111272096634,-0.0005329147024895065,0.00830078125,0.6122623322380897,0.02,300,0,0,0.291015625,0.1630859375,0.30078125,0.1904296875,0.052734375,0.001953125
46,45516,45516,150,150,466,0.3035193133047211,0.022799119353294373,-0.36324647068977356,0.000909935450181365,0.7007546275854111,0.4866274259984493,0.000726607639080612,0.0,0.5041099047979416,0.02,143,0,0,0.2832618025751073,0.19313304721030042,0.2532188841201717,0.20600858369098712,0.055793991416309016,0.008583690987124463
